Source,Target,Type,Id,Label,Weight
CSW41-2022/1,CSM45-2022/2,Directed,237,,1
CSW41-2022/1,CSM41-2022/2,Directed,238,,1
CSW41-2022/1,CSX43-2022/2,Directed,239,,1
CSW41-2022/1,CSX53-2022/2,Directed,240,,1
EEX11-2018/1,MA70G-2018/2,Directed,241,,1
EEX11-2018/1,MA70H-2018/2,Directed,242,,1
EEX11-2018/1,MA73A-2018/2,Directed,243,,1
EEX11-2018/1,EEX21-2018/2,Directed,244,,1
EEX11-2018/1,EEB21-2018/2,Directed,245,,1
EEX11-2018/1,FI73M-2018/2,Directed,246,,1
EEX11-2018/1,CSF30-2018/2,Directed,247,,1
EEF11-2019/1,EEE31-2019/2,Directed,248,,1
EEF11-2019/1,CSW30-2019/2,Directed,249,,1
EEF11-2019/1,CSR31-2019/2,Directed,250,,1
EEF11-2019/1,CSG20-2019/2,Directed,251,,1
EEF11-2019/1,CSB30-2019/2,Directed,252,,1
EEF11-2019/1,CSA30-2019/2,Directed,253,,1
EEX21-2018/2,FI74N-2019/1,Directed,254,,1
EEX21-2018/2,EEF11-2019/1,Directed,255,,1
EEX21-2018/2,EEQ31-2019/1,Directed,256,,1
EEX21-2018/2,FI73S-2019/1,Directed,257,,1
EEX21-2018/2,EEB31-2019/1,Directed,258,,1
EEX21-2018/2,EEB22-2019/1,Directed,259,,1
EEX21-2018/2,FI73M-2019/1,Directed,260,,1
EEX21-2018/2,CSD21-2019/1,Directed,261,,1
EEC21-2021/2,GE73D-2022/1,Directed,262,,1
EEC21-2021/2,CSW41-2022/1,Directed,263,,1
EEC21-2021/2,CSM44-2022/1,Directed,264,,1
EEC21-2021/2,CSX42-2022/1,Directed,265,,1
EEC21-2021/2,CSH42-2022/1,Directed,266,,1
EEC21-2021/2,EEC31-2022/1,Directed,267,,1
EEC21-2021/2,EL77A-2022/1,Directed,268,,1
EEC21-2021/2,CSS30-2022/1,Directed,269,,1
EEC21-2021/2,DI84D-2022/1,Directed,270,,1
EEQ32-2021/2,GE73D-2022/1,Directed,271,,1
EEQ32-2021/2,CSW41-2022/1,Directed,272,,1
EEQ32-2021/2,CSM44-2022/1,Directed,273,,1
EEQ32-2021/2,CSX42-2022/1,Directed,274,,1
EEQ32-2021/2,CSH42-2022/1,Directed,275,,1
EEQ32-2021/2,EEC31-2022/1,Directed,276,,1
EEQ32-2021/2,EL77A-2022/1,Directed,277,,1
EEQ32-2021/2,CSS30-2022/1,Directed,278,,1
EEQ32-2021/2,DI84D-2022/1,Directed,279,,1
CSM44-2022/1,ENADE C-2022/2,Directed,280,,1
CSM44-2022/1,CSM45-2022/2,Directed,281,,1
CSM44-2022/1,CSM41-2022/2,Directed,282,,1
CSM44-2022/1,CSX43-2022/2,Directed,283,,1
CSM44-2022/1,CSX53-2022/2,Directed,284,,1
FI71S-2017/2,FI72M-2018/1,Directed,285,,1
FI71S-2017/2,QB70C-2018/1,Directed,286,,1
FI71S-2017/2,MA72A-2018/1,Directed,287,,1
FI71S-2017/2,EEX11-2018/1,Directed,288,,1
FI71S-2017/2,FI72S-2018/1,Directed,289,,1
FI71S-2017/2,CSE20-2018/1,Directed,290,,1
FI71S-2017/2,CSF20-2018/1,Directed,291,,1
FI71S-2017/2,FI72N-2018/1,Directed,292,,1
EEE32-2020/2,QB70E-2021/1,Directed,293,,1
EEE32-2020/2,GE70H-2021/1,Directed,294,,1
EEE32-2020/2,ES70G-2021/1,Directed,295,,1
EEE32-2020/2,GE70D-2021/1,Directed,296,,1
EEE32-2020/2,ELB23-2021/1,Directed,297,,1
EEE32-2020/2,EEX23-2021/1,Directed,298,,1
EEE32-2020/2,EEF21-2021/1,Directed,299,,1
EEE32-2020/2,EEF31-2021/1,Directed,300,,1
EEE32-2020/2,CSE30-2021/1,Directed,301,,1
CSR31-2019/2,EEX22-2020/1,Directed,302,,1
CSR31-2019/2,CSW40-2020/1,Directed,303,,1
CSR31-2019/2,CSI30-2020/1,Directed,304,,1
CSR31-2019/2,CSX54-2020/1,Directed,305,,1
CSR31-2019/2,CSE30-2020/1,Directed,306,,1
CSR31-2019/2,CSA31-2020/1,Directed,307,,1
CSR31-2019/2,CSO30-2020/1,Directed,308,,1
EEQ31-2019/1,EEE31-2019/2,Directed,309,,1
EEQ31-2019/1,CSW30-2019/2,Directed,310,,1
EEQ31-2019/1,CSR31-2019/2,Directed,311,,1
EEQ31-2019/1,CSG20-2019/2,Directed,312,,1
EEQ31-2019/1,CSB30-2019/2,Directed,313,,1
EEQ31-2019/1,CSA30-2019/2,Directed,314,,1
CSW40-2020/1,FI74M-2020/2,Directed,315,,1
CSW40-2020/1,EL66E-2020/2,Directed,316,,1
CSW40-2020/1,EEX22-2020/2,Directed,317,,1
CSW40-2020/1,FI74S-2020/2,Directed,318,,1
CSW40-2020/1,EEE32-2020/2,Directed,319,,1
CSW40-2020/1,CSX54-2020/2,Directed,320,,1
CSX42-2022/1,ENADE C-2022/2,Directed,321,,1
CSX42-2022/1,CSM45-2022/2,Directed,322,,1
CSX42-2022/1,CSM41-2022/2,Directed,323,,1
CSX42-2022/1,CSX43-2022/2,Directed,324,,1
CSX42-2022/1,CSX53-2022/2,Directed,325,,1
