Source,Target,Type,Id,Label,Weight
CSH42,CSM41,Directed,354,,1
CSH42,CSX43,Directed,355,,1
CSH42,CSX53,Directed,356,,1
CSX54,QB70E,Directed,357,,1
CSX54,GE70H,Directed,358,,1
CSX54,ES70G,Directed,359,,1
CSX54,GE70D,Directed,360,,1
CSX54,ELB23,Directed,361,,1
CSX54,EEX23,Directed,362,,1
CSX54,EEF21,Directed,363,,1
CSX54,EEF31,Directed,364,,1
CSX54,CSE30,Directed,365,,1
CSX54,FI74M,Directed,366,,1
CSX54,EL66E,Directed,367,,1
CSX54,EEX22,Directed,368,,1
CSX54,FI74S,Directed,369,,1
CSX54,EEE32,Directed,370,,1
CSX54,CSX54,Directed,371,,1
FI72S,MA70G,Directed,372,,1
FI72S,MA70H,Directed,373,,1
FI72S,MA73A,Directed,374,,1
FI72S,EEX21,Directed,375,,1
FI72S,EEB21,Directed,376,,1
FI72S,FI73M,Directed,377,,1
FI72S,CSF30,Directed,378,,1
FI73S,EEE31,Directed,379,,1
FI73S,CSW30,Directed,380,,1
FI73S,CSR31,Directed,381,,1
FI73S,CSG20,Directed,382,,1
FI73S,CSB30,Directed,383,,1
FI73S,CSA30,Directed,384,,1
EEF21,ES70P,Directed,385,,1
EEF21,DI65H,Directed,386,,1
EEF21,ELF51,Directed,387,,1
EEF21,ELTE3,Directed,388,,1
EEF21,ELF62,Directed,389,,1
EEF21,EEC21,Directed,390,,1
EEF21,EEQ32,Directed,391,,1
EEF21,CSI30,Directed,392,,1
EEF21,CSH30,Directed,393,,1
EEF21,CSW42,Directed,394,,1
EEF21,CSR30,Directed,395,,1
EEF31,ES70P,Directed,396,,1
EEF31,DI65H,Directed,397,,1
EEF31,ELF51,Directed,398,,1
EEF31,ELTE3,Directed,399,,1
EEF31,ELF62,Directed,400,,1
EEF31,EEC21,Directed,401,,1
EEF31,EEQ32,Directed,402,,1
EEF31,CSI30,Directed,403,,1
EEF31,CSH30,Directed,404,,1
EEF31,CSW42,Directed,405,,1
EEF31,CSR30,Directed,406,,1
EEB31,EEE31,Directed,407,,1
EEB31,CSW30,Directed,408,,1
EEB31,CSR31,Directed,409,,1
EEB31,CSG20,Directed,410,,1
EEB31,CSB30,Directed,411,,1
EEB31,CSA30,Directed,412,,1
CSE30,FI74M,Directed,413,,1
CSE30,EL66E,Directed,414,,1
CSE30,EEX22,Directed,415,,1
CSE30,FI74S,Directed,416,,1
CSE30,EEE32,Directed,417,,1
CSE30,CSX54,Directed,418,,1
CSE30,ES70P,Directed,419,,1
CSE30,DI65H,Directed,420,,1
CSE30,ELF51,Directed,421,,1
CSE30,ELTE3,Directed,422,,1
CSE30,ELF62,Directed,423,,1
CSE30,EEC21,Directed,424,,1
CSE30,EEQ32,Directed,425,,1
CSE30,CSI30,Directed,426,,1
CSE30,CSH30,Directed,427,,1
CSE30,CSW42,Directed,428,,1
CSE30,CSR30,Directed,429,,1
CSG20,EEX22,Directed,430,,1
CSG20,CSW40,Directed,431,,1
CSG20,CSI30,Directed,432,,1
CSG20,CSX54,Directed,433,,1
CSG20,CSE30,Directed,434,,1
CSG20,CSA31,Directed,435,,1
CSG20,CSO30,Directed,436,,1
