('CSR30', 'GE73D', {'weight': 1})
('CSR30', 'CSW41', {'weight': 1})
('CSR30', 'CSM44', {'weight': 1})
('CSR30', 'CSX42', {'weight': 1})
('CSR30', 'CSH42', {'weight': 1})
('CSR30', 'EEC31', {'weight': 1})
('CSR30', 'EL77A', {'weight': 1})
('CSR30', 'CSS30', {'weight': 1})
('CSR30', 'DI84D', {'weight': 1})
('CSS30', 'ENADE C', {'weight': 1})
('CSS30', 'CSM45', {'weight': 1})
('CSS30', 'CSM41', {'weight': 1})
('CSS30', 'CSX43', {'weight': 1})
('CSS30', 'CSX53', {'weight': 1})
('CSE20', 'MA70G', {'weight': 1})
('CSE20', 'MA70H', {'weight': 1})
('CSE20', 'MA73A', {'weight': 1})
('CSE20', 'EEX21', {'weight': 1})
('CSE20', 'EEB21', {'weight': 1})
('CSE20', 'FI73M', {'weight': 1})
('CSE20', 'CSF30', {'weight': 1})
('CSF20', 'MA70G', {'weight': 1})
('CSF20', 'MA70H', {'weight': 1})
('CSF20', 'MA73A', {'weight': 1})
('CSF20', 'EEX21', {'weight': 1})
('CSF20', 'EEB21', {'weight': 1})
('CSF20', 'FI73M', {'weight': 1})
('CSF20', 'CSF30', {'weight': 1})
('CSD20', 'FI72M', {'weight': 1})
('CSD20', 'QB70C', {'weight': 1})
('CSD20', 'MA72A', {'weight': 1})
('CSD20', 'EEX11', {'weight': 1})
('CSD20', 'FI72S', {'weight': 1})
('CSD20', 'CSE20', {'weight': 1})
('CSD20', 'CSF20', {'weight': 1})
('CSD20', 'FI72N', {'weight': 1})
('DI84D', 'ENADE C', {'weight': 1})
('DI84D', 'CSM45', {'weight': 1})
('DI84D', 'CSM41', {'weight': 1})
('DI84D', 'CSX43', {'weight': 1})
('DI84D', 'CSX53', {'weight': 1})
('CSF13', 'FI72M', {'weight': 1})
('CSF13', 'QB70C', {'weight': 1})
('CSF13', 'MA72A', {'weight': 1})
('CSF13', 'EEX11', {'weight': 1})
('CSF13', 'FI72S', {'weight': 1})
('CSF13', 'CSE20', {'weight': 1})
('CSF13', 'CSF20', {'weight': 1})
('CSF13', 'FI72N', {'weight': 1})
('FI73M', 'EEE31', {'weight': 1})
('FI73M', 'CSW30', {'weight': 1})
('FI73M', 'CSR31', {'weight': 1})
('FI73M', 'CSG20', {'weight': 1})
('FI73M', 'CSB30', {'weight': 1})
('FI73M', 'CSA30', {'weight': 1})
('FI73M', 'FI74N', {'weight': 1})
('FI73M', 'EEF11', {'weight': 1})
('FI73M', 'EEQ31', {'weight': 1})
('FI73M', 'FI73S', {'weight': 1})
('FI73M', 'EEB31', {'weight': 1})
