Período,[OPT],Código,Disciplina,Modelo de disciplina,Aulas teóricas semanais,Aulas práticas semanais,Total de aulas semanais,Total de aulas de APS,Total de aulas de APCC,Total de horas de AD,Total de horas de CHEXT,Total de horas CHEAD,Carga horária total,Pré-requisito(s),Disciplina_EQ,CHT_EQ,Grupo_EQ
 8,[968],CSB43,TÓPICOS EM BANCO DE DADOS,FORMAÇÃO PROFISSIONAL,2,2,4,4,8,0,0,0,60,CSB30,,,
 8,[968],CSB50,BANCO DE DADOS,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSB30,ICSB50,45,
 8,[968],CSB51,RECUPERAÇÃO INTELIGENTE DE INFORMAÇÕES,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSI30,"ICSB51 IF6AH","45 60",
 8,[968],CSB52,DATA WAREHOUSING,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSB30,ICSB52,45,
 8,[968],CSB53,INTRODUÇÃO A CIÊNCIAS DE DADOS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,"CSB30 MA70H",ICSB53,60,
 8,[968],CSB54,INTRODUCTION TO DATA SCIENCE,FORMAÇÃO PROFISSIONAL,2,2,4,0,0,0,0,0,60,"CSB30 MA70H",ICSB54,60,
 8,[973],CSB55,CIÊNCIA DE DADOS E MULTIDISCIPLINARIDADE,FORMAÇÃO PROFISSIONAL,1,3,4,0,0,0,0,0,60,,,,
 8,[966],CSD40,SIMULAÇÃO DE EVENTOS DISCRETOS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,MA70H,IF6AL,60,
 8,[966],CSD41,PROGRAMAÇÃO MATEMÁTICA,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,0,0,0,45,CSA30,"ELTE2 EL6AA EL68G ICSD41 IF6BO","60 60 60 45 60",
 8,[966],CSD42,SIMULAÇÃO DE SISTEMAS BIOLÓGICOS E SOCIAIS,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,0,0,0,45,CSF30,"ICSD42 IF6AQ","45 60",
 8,[966],CSD43,SIMULAÇÃO DE EVENTOS DISCRETOS,FORMAÇÃO PROFISSIONAL,1,2,3,0,0,0,0,0,45,MA70H,ICSD43,45,
 8,[966],CSD45,MODELAGEM E AVALIAÇÃO DE SISTEMAS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,"CSG20 MA70H","ICSD45 IF67F","60 60",
 8,[966],CSD47,OTIMIZAÇÃO DE SISTEMAS,FORMAÇÃO PROFISSIONAL,3,0,3,0,0,0,0,0,45,Período:7,ICSD47,45,
 8,[966],CSD52,INTRODUÇÃO À COMPUTAÇÃO CIENTÍFICA,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSD21,ICSD52,60,
 8,[966],CSD55,MÉTODOS ESTOCÁSTICOS,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,MA70H,ICSD50,45,
 8,[966],CSD57,MÉTODOS FORMAIS II,FORMAÇÃO PROFISSIONAL,2,1,3,0,0,0,0,0,45,CSA31,,,
 8,[966],CSD58,TÓPICOS ESPECIAIS EM TELEMÁTICA III,FORMAÇÃO PROFISSIONAL,2,1,3,0,0,0,0,0,45,"CSR30 MA70H",,,
 8,[965],CSE40,ENGENHARIA DE SOFTWARE 2,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSE30,"ICSE40 IF66G","45 45",
 8,[965],CSE41,ENGENHARIA DE REQUISITOS,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSE40,ICSE41,45,
 8,[965],CSE42,METODOLOGIAS ÁGEIS PARA O DESENVOLVIMENTO DE SOFTWARE,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSE40,"ICSE42 IF6BL","45 45",
 8,[965],CSE43,"TESTES, VERIFICAÇÃO E VALIDAÇÃO DE SISTEMAS",FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSE40,"ICSE43 IF6BT","45 60",
 8,[965],CSE44,SISTEMAS LEGADOS,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSE40,"ICSE44 IF65F","45 30",
 8,[965],CSE45,MODELAGEM DE SOFTWARE,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSE40,ICSE45,45,
 8,[965],CSE46,MÉTRICAS E ESTIMATIVAS DE SOFTWARE,FORMAÇÃO PROFISSIONAL,3,0,3,3,0,6,0,0,45,CSE40,ICSE46,45,
 8,[965],CSE47,GERÊNCIA DE PROJETOS,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSE40,"ICSE47 IF67G","45 60",
 8,[965],CSE48,QUALIDADE DE SOFTWARE,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,6,0,0,45,CSE40,ICSE48,45,
 8,[973],CSG41,TECNOLOGIAS DA INFORMAÇÃO APLICADA À GESTÃO,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,,ICSG41,45,
 8,[973],CSG42,GESTÃO DO CONHECIMENTO,FORMAÇÃO PROFISSIONAL,0,2,2,2,0,0,0,0,30,,"GE60J ICSG42","30 30",
 8,[973],CSG43,SISTEMAS DE APOIO À DECISÃO,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSI30,IF67E,60,
 8,[973],CSG44,INFORMÁTICA EM SAÚDE,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSG20,"ICSG44 IF6BF","60 60",
 8,[973],CSG45,SISTEMAS DE INFORMAÇÃO EM SAÚDE,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,,ICSG45,60,
 8,[973],CSG47,INTELIGÊNCIA COLETIVA E REDES SOCIAIS ELETRÔNICAS,FORMAÇÃO PROFISSIONAL,3,0,3,3,0,6,0,0,45,,ICSG47,45,
 8,[973],CSG48,MODELAGEM DE PROCESSOS DE NEGÓCIOS,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSG20,ICSG48,60,
 8,[973],CSG70,SISTEMAS DE INFORMAÇÃO E ORGANIZAÇÕES,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSG20,ICSG70,45,
 8,[969],CSH30,INTRODUÇÃO À INTERAÇÃO HUMANO-COMPUTADOR,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSE20,"ICSH31 IF63F IF63O","45 60 45",
 8,[969],CSH41,AVALIAÇÃO EM INTERAÇÃO HUMANO-COMPUTADOR,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,0,0,0,45,CSH30,ICSH41,45,
 8,[969],CSH42,ACESSIBILIDADE E INCLUSÃO DIGITAL,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSH30,ICSHX0,45,
 8,[969],CSH43,TRABALHO COOPERATIVO APOIADO POR COMPUTADOR,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,"CSH30 ES70G","ICSH43 IF68B","60 60",
 8,[969],CSH44,COMPUTAÇÃO E SOCIEDADE,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,0,0,0,45,ES70G,"ICSHX1 IF66H","45 30",
 8,[969],CSH45,TÓPICOS EM DESIGN DE INTERAÇÃO,FORMAÇÃO PROFISSIONAL,2,2,4,4,0,0,0,0,60,CSH30,ICSH45,60,
 8,[969],CSH50,FUNDAMENTOS EM INTERAÇÃO,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSH30,,,
 8,[969],CSH51,DESIGN DE INTERAÇÃO,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSH30,,,
 8,[962],CSI31,Ciências das Redes,FORMAÇÃO PROFISSIONAL,2,2,4,0,0,0,0,0,60,CSI30,ICSI31,60,
 8,[962],CSI41,REDES NEURAIS,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSI30,"ICSI41 IF6AJ","45 60",
 8,[962],CSI42,META-HEURISTICAS INSPIRADAS EM INTELIGÊNCIA COLETIVA,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSI30,,,
 8,[962],CSI51,COMPUTAÇÃO EVOLUCIONÁRIA,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,0,0,0,45,CSI30,"ICSI51 IF6AC","45 60",
 8,[962],CSI52,INTELIGÊNCIA ARTIFICIAL DISTRIBUÍDA,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,0,0,0,45,CSI30,"ICSI52 IF68D","45 60",
 8,[962],CSI53,MINERAÇÃO DE DADOS,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,0,0,0,45,CSI30,ICSI53,45,
 8,[962],CSI54,ONTOLOGIAS,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,0,0,0,45,CSI30,IF6CD,45,
 8,[962],CSI55,SISTEMAS AUTÔNOMOS INTELIGENTES,FORMAÇÃO PROFISSIONAL,0,3,3,3,0,0,0,0,45,CSI30,"ICSI55 IF6BQ","45 60",
 8,[962],CSI56,SISTEMAS FUZZY,FORMAÇÃO PROFISSIONAL,1,2,3,3,0,0,0,0,45,CSI30,"ICSI56 IF6AK","45 60",
 8,[962],CSI57,INTRODUÇÃO ÀS CIÊNCIAS COGNITIVAS,FORMAÇÃO PROFISSIONAL,2,1,3,3,0,6,0,0,45,CSD21,ICSI57,45,
 8,[962],CSI58,DATA MINING,FORMAÇÃO PROFISSIONAL,2,1,3,0,0,0,0,0,45,"CSI30 MA70H",ICSI58,45,
