('123686', '104372', {'weight': 1})
('123686', '165565', {'weight': 1})
('123686', '175469', {'weight': 1})
('123686', '179645', {'weight': 1})
('123686', '179821', {'weight': 1})
('123686', '183016', {'weight': 1})
('123686', '186026', {'weight': 1})
('123686', '202688', {'weight': 1})
('123686', '124406', {'weight': 1})
('123686', '136043', {'weight': 1})
('123686', '160854', {'weight': 1})
('123686', '161104', {'weight': 1})
('123686', '161839', {'weight': 1})
('123686', '165564', {'weight': 1})
('123686', '165683', {'weight': 1})
('123686', '165686', {'weight': 1})
('123686', '166078', {'weight': 1})
('123686', '167374', {'weight': 1})
('123686', '169049', {'weight': 1})
('123686', '172047', {'weight': 1})
('123686', '175798', {'weight': 1})
('123686', '194218', {'weight': 1})
('123686', '208880', {'weight': 1})
('123686', '145077', {'weight': 1})
('123686', '202268', {'weight': 1})
('123686', '124741', {'weight': 1})
('123686', '179819', {'weight': 1})
('123686', '186021', {'weight': 1})
('123686', '190493', {'weight': 1})
('123686', '190615', {'weight': 1})
('123686', '171652', {'weight': 1})
('123686', '179402', {'weight': 1})
('123686', '190502', {'weight': 1})
('123686', '193637', {'weight': 1})
('123686', '202252', {'weight': 1})
('123686', '202256', {'weight': 1})
('123686', '202417', {'weight': 1})
('123686', '202689', {'weight': 1})
('123686', '202696', {'weight': 1})
('123686', '212675', {'weight': 1})
('123686', '213596', {'weight': 1})
('123686', '198545', {'weight': 1})
('123686', '202698', {'weight': 1})
('123686', '11357', {'weight': 1})
('123686', '110307', {'weight': 1})
('123686', '168864', {'weight': 1})
('123686', '212903', {'weight': 1})
('123686', '224204', {'weight': 1})
('123686', '250128', {'weight': 1})
('123686', '250152', {'weight': 1})
('123686', '251697', {'weight': 1})
('123686', '219036', {'weight': 1})
('123686', '119255', {'weight': 1})
('123686', '157889', {'weight': 1})
('123686', '160838', {'weight': 1})
('123686', '161103', {'weight': 1})
('123686', '177424', {'weight': 1})
('123686', '202690', {'weight': 1})
('123686', '250148', {'weight': 1})
('123686', '129034', {'weight': 1})
('123686', '147820', {'weight': 1})
('123686', '198538', {'weight': 1})
('123686', '186224', {'weight': 1})
('123686', '90293', {'weight': 1})
('123686', '90327', {'weight': 1})
('123686', '104768', {'weight': 1})
('123686', '125626', {'weight': 1})
('123686', '156565', {'weight': 1})
('123686', '160847', {'weight': 1})
('123686', '160851', {'weight': 1})
('123686', '172409', {'weight': 1})
('123686', '202703', {'weight': 1})
('123688', '198538', {'weight': 1})
('123688', '202268', {'weight': 1})
('123688', '208886', {'weight': 1})
('123688', '150878', {'weight': 1})
('123688', '150892', {'weight': 1})
('123688', '156158', {'weight': 1})
('123688', '160839', {'weight': 1})
('123688', '160852', {'weight': 1})
('123688', '161216', {'weight': 1})
('123688', '161223', {'weight': 1})
('123688', '161226', {'weight': 1})
('123688', '165895', {'weight': 1})
('123688', '166050', {'weight': 1})
('123688', '171745', {'weight': 1})
('123688', '171749', {'weight': 1})
('123688', '172044', {'weight': 1})
('123688', '172045', {'weight': 1})
('123688', '172307', {'weight': 1})
('123688', '175962', {'weight': 1})
('123688', '191284', {'weight': 1})
('123688', '198372', {'weight': 1})
('123688', '198543', {'weight': 1})
('123688', '118817', {'weight': 1})
('123688', '136716', {'weight': 1})
('123688', '136720', {'weight': 1})
('123688', '155125', {'weight': 1})
('123688', '165565', {'weight': 1})
('123688', '165898', {'weight': 1})
('123688', '175469', {'weight': 1})
('123688', '177422', {'weight': 1})
('123688', '179645', {'weight': 1})
('123688', '186026', {'weight': 1})
('123688', '193634', {'weight': 1})
('123688', '161840', {'weight': 1})
('123688', '51969', {'weight': 1})
('123688', '113582', {'weight': 1})
('123688', '124406', {'weight': 1})
('123688', '125585', {'weight': 1})
('123688', '131755', {'weight': 1})
('123688', '136043', {'weight': 1})
('123688', '145760', {'weight': 1})
('123688', '152094', {'weight': 1})
('123688', '153843', {'weight': 1})
('123688', '160832', {'weight': 1})
('123688', '160835', {'weight': 1})
('123688', '160843', {'weight': 1})
('123688', '160854', {'weight': 1})
('123688', '161072', {'weight': 1})
('123688', '161104', {'weight': 1})
('123688', '161222', {'weight': 1})
('123688', '161532', {'weight': 1})
('123688', '161838', {'weight': 1})
('123688', '161839', {'weight': 1})
('123688', '165430', {'weight': 1})
('123688', '165564', {'weight': 1})
('123688', '165682', {'weight': 1})
('123688', '165683', {'weight': 1})
('123688', '165686', {'weight': 1})
('123688', '165687', {'weight': 1})
('123688', '165689', {'weight': 1})
('123688', '165691', {'weight': 1})
('123688', '166078', {'weight': 1})
('123688', '167374', {'weight': 1})
('123688', '169049', {'weight': 1})
('123688', '169315', {'weight': 1})
('123688', '171753', {'weight': 1})
('123688', '172038', {'weight': 1})
('123688', '172041', {'weight': 1})
('123688', '172047', {'weight': 1})
('123688', '172306', {'weight': 1})
('123688', '172973', {'weight': 1})
('123688', '175798', {'weight': 1})
('123688', '193633', {'weight': 1})
('123688', '194218', {'weight': 1})
('123688', '208880', {'weight': 1})
